iso_alpha_3,gdp_total,year
ABW,3952000000.0,2024
AGO,115946000000.0,2024
ALB,27259000000.0,2024
AND,4038000000.0000005,2024
ARE,537078999999.99994,2024
ARG,632145000000.0,2024
ARM,25533000000.0,2024
ATG,2225000000.0,2024
AUS,1796805000000.0,2024
AUT,521269000000.0,2024
AZE,74316000000.0,2024
BDI,4743000000.0,2024
BEL,664965000000.0,2024
BEN,21249000000.0,2024
BFA,23975000000.0,2024
BGD,451096000000.0,2024
BGR,112232000000.0,2024
BHR,46943000000.0,2024
BHS,14761000000.0,2024
BIH,28795000000.0,2024
BLZ,3427000000.0,2024
BOL,48404000000.0,2024
BRA,2171337000000.0,2024
BRB,7167000000.0,2024
BRN,15463000000.0,2024
BTN,3092000000.0,2024
BWA,19356000000.0,2024
CAN,2241253000000.0,2024
CHE,936738000000.0,2024
CHL,330210000000.0,2024
CIV,87096000000.0,2024
CMR,52784000000.0,2024
COG,14893000000.0,2024
COL,418542000000.0,2024
COM,1456000000.0,2024
CPV,2726000000.0,2024
CRI,95365000000.0,2024
CYP,36156000000.0,2024
CZE,344931000000.0,2024
DEU,4658526000000.0,2024
DJI,4256999999.9999995,2024
DMA,697000000.0,2024
DNK,429458000000.0,2024
DOM,124613000000.0,2024
DZA,264913000000.0,2024
ECU,121728000000.0,2024
EGY,383109000000.0,2024
ESP,1722227000000.0,2024
EST,42752000000.0,2024
FIN,298833000000.0,2024
FJI,5949000000.0,2024
FRA,3162023000000.0,2024
FSM,471000000.0,2024
GAB,20774000000.0,2024
GBR,3644636000000.0,2024
GEO,33775000000.0,2024
GHA,82825000000.0,2024
GIN,25758000000.0,2024
GMB,2558000000.0,2024
GNB,2184000000.0,2024
GNQ,12544000000.0,2024
GRC,257067000000.0,2024
GRD,1392000000.0,2024
GTM,112575000000.0,2024
GUY,24659000000.0,2024
HND,36965000000.0,2024
HRV,92506000000.0,2024
HTI,26229000000.0,2024
HUN,223060000000.0,2024
IDN,1396300000000.0,2024
IND,3909097000000.0,2024
IRL,577216000000.0,2024
IRQ,277478000000.0,2024
ISL,33463000000.0,2024
ISR,540381000000.0,2024
ITA,2372059000000.0,2024
JAM,20069000000.0,2024
JOR,53428000000.0,2024
JPN,4026211000000.0,2024
KAZ,284810000000.0,2024
KEN,120899000000.0,2024
KGZ,17491000000.0,2024
KHM,47328000000.0,2024
KIR,308000000.0,2024
KNA,1117000000.0,2024
KOR,1869714000000.0,2024
XKX,11151000000.0,2024
KWT,158568000000.0,2024
LAO,15879000000.0,2024
LBN,28280000000.0,2024
LBR,4818000000.0,2024
LCA,2523000000.0,2024
LKA,98964000000.0,2024
LSO,2309000000.0,2024
LTU,84847000000.0,2024
LUX,93169000000.0,2024
LVA,43508000000.0,2024
MAR,155350000000.0,2024
MDA,18126000000.0,2024
MDG,17420000000.0,2024
MDV,7019000000.0,2024
MEX,1852723000000.0,2024
MHL,280000000.0,2024
MKD,16678999999.999998,2024
MLT,24315000000.0,2024
MNE,8023000000.0,2024
MNG,23586000000.0,2024
MOZ,21944000000.0,2024
MRT,10697000000.0,2024
MUS,14953000000.0,2024
MWI,11797000000.0,2024
MYS,419617000000.0,2024
NAM,13370000000.0,2024
NER,19866000000.0,2024
NGA,187640000000.0,2024
NLD,1227174000000.0,2024
NOR,483727000000.0,2024
NPL,43419000000.0,2024
NRU,161000000.0,2024
NZL,257728000000.0,2024
OMN,106943000000.0,2024
PAK,373078000000.0,2024
PAN,87688000000.0,2024
PER,289070000000.0,2024
PHL,461617000000.0,2024
PLW,306000000.0,2024
PNG,31654000000.0,2024
POL,908583000000.0,2024
PRI,120978000000.0,2024
PRT,308590000000.0,2024
PRY,43989000000.0,2024
QAT,221452000000.0,2024
ROU,384148000000.0,2024
RWA,14251000000.0,2024
SAU,1085358000000.0,2024
SEN,32892000000.000004,2024
SGP,547386999999.99994,2024
SLB,1777000000.0,2024
SLE,7653000000.0,2024
SLV,35337000000.0,2024
SMR,2063000000.0000002,2024
SRB,89074000000.0,2024
STP,796000000.0,2024
SUR,4458000000.0,2024
SVK,140636000000.0,2024
SVN,72463000000.0,2024
SWE,610118000000.0,2024
SWZ,5199000000.0,2024
SYC,2168000000.0,2024
TCD,19078000000.0,2024
TGO,9776000000.0,2024
THA,526410999999.99994,2024
TJK,13544000000.0,2024
TKM,82515000000.0,2024
TLS,2015000000.0000002,2024
TON,539000000.0,2024
TTO,25524000000.0,2024
TUN,53063000000.0,2024
TUR,1322405000000.0,2024
TUV,65000000.0,2024
TWN,782441000000.0,2024
TZA,80171000000.0,2024
UGA,56453000000.0,2024
UKR,190426000000.0,2024
URY,80961000000.0,2024
USA,29184900000000.0,2024
UZB,114962000000.0,2024
VCT,1162000000.0,2024
VNM,459472000000.0,2024
VUT,1206000000.0,2024
WSM,1068000000.0000001,2024
ZAF,400191000000.0,2024
ZMB,26326000000.0,2024
ZWE,35224000000.0,2024
